gene_symbol	chimp1	chimp2	chimp3	chimp4	macaca1	macaca2	macaca3	macaca4
A1BG	126	157	67	52	8	66	90	172
A2M	32088	15061	31842	20768	5810	7373	7920	8133
A4GALT	1308	873	2019	924	2456	2092	4012	3697
AAAS	1185	971	829	1157	221	333	501	352
AACS	199	232	184	232	153	162	246	238
AADAC	486	109	61	38	8	89	93	271
AADAT	238	213	164	301	45	99	120	85
AAGAB	1099	677	1207	1089	912	1034	1592	1143
AAK1	663	860	653	499	1411	1537	2430	2613
AAMDC	2224	2499	4054	1788	898	1442	1511	1778
AAMP	2523	1858	2428	2249	1672	2053	2910	2289
AAR2	649	413	770	567	265	348	501	403
AARS1	3834	3343	3724	3692	1826	2064	3264	2392
AARS2	513	434	209	442	892	974	1450	1277
AASDH	225	177	197	341	203	276	436	275
AASDHPPT	2515	2356	2893	2389	1388	2098	2304	1891
AASS	495	982	2091	851	1686	1230	2950	2192
AATK	169	109	380	181	83	61	139	24
ABCA1	69	496	413	118	138	262	310	164
ABCA10	499	605	566	941	59	121	85	41
ABCA2	2151	2336	1938	2271	2450	1787	4467	2345
ABCA3	630	393	680	662	239	307	454	221
ABCA5	959	1026	881	870	120	272	237	204
ABCA6	1370	1339	2103	1063	328	517	718	486
ABCA7	478	238	195	370	642	240	816	413
ABCA8	4630	7043	6980	9788	2426	2747	3152	1927
ABCA9	2471	3010	3871	3249	221	624	608	260
ABCB1	363	74	114	342	161	255	229	144
ABCB4	168	87	190	98	114	169	232	164
ABCB6	1358	779	819	1353	1129	1611	2272	1422
ABCB7	1296	1381	1487	1123	648	814	1222	782
ABCB8	891	708	715	981	389	459	832	564
ABCB9	317	381	465	306	72	71	99	100
ABCC1	1023	717	898	767	338	416	773	469
ABCC10	1133	1044	834	1552	495	756	773	523
ABCC3	883	167	240	425	96	169	244	366
ABCC4	381	217	255	312	192	214	294	218
ABCC5	5492	6728	5243	6376	3774	6521	5620	6983
ABCC6	273	174	122	167	12	27	60	100
ABCC8	567	365	494	445	12	42	30	20
ABCC9	1290	3061	1617	2961	937	1576	1874	2055
ABCD1	224	155	232	173	339	311	508	371
ABCD3	2393	2079	2606	1772	2422	3313	2535	2162
ABCD4	1622	971	587	1582	567	777	948	732
ABCE1	613	575	656	659	641	677	990	795
ABCF1	3697	2415	3632	2986	2302	2457	3793	2650
ABCF2	1083	821	1140	1128	541	651	948	659
ABCF3	3080	3117	3127	2930	2171	2618	3832	2787
ABCG1	1437	666	933	329	41	127	98	114
ABCG2	911	468	504	925	935	1209	1430	1299
ABHD1	268	405	137	273	168	114	263	172
ABHD10	1618	1558	2175	1336	1444	1704	2280	1921
ABHD11	652	1018	698	842	501	610	825	632
ABHD12	1323	829	1196	1051	402	634	723	587
ABHD13	551	522	670	623	412	686	612	529
ABHD14A	429	418	543	426	340	466	494	367
ABHD14A-ACY1	1080	1085	1296	1031	1246	1344	2848	1382
ABHD14B	348	255	303	262	199	198	330	228
ABHD15	407	291	317	468	59	68	100	55
ABHD16A	1989	1573	1488	1843	1405	1874	2152	1962
ABHD17B	470	380	471	390	321	390	499	502
ABHD17C	220	220	143	273	454	584	1035	660
ABHD18	756	1132	838	899	890	902	1325	902
ABHD2	1023	778	1535	847	1285	886	1245	2449
ABHD3	365	121	175	258	329	699	525	512
ABHD4	690	361	516	489	612	586	1508	1227
ABHD5	1144	1058	1089	1379	406	521	814	596
ABHD6	283	287	352	196	68	85	201	116
ABHD8	311	328	280	387	276	348	481	328
ABI1	3426	1771	1628	2195	679	729	1136	991
ABI2	3451	3527	4423	3996	2034	2607	3395	2656
ABI3	274	138	145	224	107	45	111	132
ABI3BP	5268	2376	1286	6190	683	865	1219	851
ABITRAM	189	208	199	160	106	130	194	158
ABL1	3598	1909	2700	2455	814	984	1333	1032
ABL2	214	287	221	247	227	310	374	379
ABLIM1	31594	40565	47763	35762	33761	41935	64459	46286
ABLIM2	376	371	439	295	503	481	1067	1016
ABLIM3	11130	9257	12658	10140	4095	4024	6386	5083
ABO	285	245	248	509	43	31	69	45
ABR	2567	2073	2667	1724	2012	1792	3643	2546
ABRA	1442	1879	128	161	1233	1133	1389	3424
ABRACL	165	52	60	148	32	22	46	46
ABRAXAS2	943	669	1111	972	545	650	893	770
ABT1	114	86	129	124	117	179	262	160
ABTB1	1678	1384	1413	2101	350	335	719	389
ABTB2	451	612	649	550	876	798	2313	2045
ABTB3	148	39	54	198	11	5	16	10
ACAA1	3200	4217	3969	3131	1795	2241	3895	2515
ACAA2	1815	2474	2286	1639	1895	2214	2819	1955
ACACB	6507	8642	10354	4007	12076	12928	18352	11012
ACAD10	1011	654	404	838	497	583	689	491
ACAD11	5147	6191	6175	4246	1672	1172	2886	1898
ACAD8	318	477	333	432	792	862	1449	859
ACAD9	1547	1451	1754	1447	1281	1264	2374	1470
ACADM	18266	16859	13394	15672	15544	16760	25730	21910
ACADS	1884	2506	1898	1928	2692	3640	4652	3828
ACADSB	4715	4370	5463	3332	4144	5767	5498	6701
ACADVL	27609	29062	35704	18743	24817	30960	40650	26738
ACAP2	1741	1113	1384	1500	698	768	979	869
ACAP3	780	511	461	771	272	243	508	401
ACAT1	14135	15899	18404	12841	9025	7019	14953	9856
ACAT2	651	409	549	456	449	576	856	673
ACBD3	1875	1307	1805	1436	755	1008	1361	996
ACBD4	280	186	162	295	140	235	285	155
ACBD5	2943	2807	2768	2791	1586	1990	3009	1968
ACCS	363	287	421	367	90	121	339	179
ACD	391	154	115	249	39	56	93	52
ACE	2743	1288	453	1811	74	171	135	82
ACE2	262	133	142	337	101	14	40	36
ACER3	187	118	141	146	239	322	434	320
ACIN1	7555	4435	5309	6403	2800	3706	4685	3295
ACKR1	2170	77	178	601	28	52	67	25
ACKR3	1706	2195	4571	2757	1139	2536	2015	1473
ACKR4	358	452	427	301	117	82	188	118
ACLY	1401	959	812	1251	707	550	877	644
ACO1	3498	3740	4045	3424	2243	2784	4211	2869
ACO2	12664	12552	10353	9648	12614	15774	22865	17564
ACOT11	910	1679	813	1393	2780	2966	5181	3462
ACOT13	1979	1809	2798	1487	2757	3944	6373	3298
ACOT6	95	105	190	240	64	43	68	60
ACOT8	1033	713	728	966	425	422	710	508
ACOT9	3000	2461	2280	3248	961	1086	965	1217
