baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	neg_log10_padj	in_calcium_signaling
A1BG	97.4566788645683	-0.0289393452888602	0.853232132914589	-0.033917317658918	0.97294308363812	0.982066350786705	0.00785916923231514	FALSE
A2M	13564.2928483129	1.12648051582039	0.23317741860597	4.83100174345762	1.35847814769758e-06	6.63804662511102e-06	5.17795970146684	FALSE
A4GALT	2383.36916961392	-2.17744411767693	0.166417398723207	-13.084233586048	4.05226816712076e-39	3.55762353217552e-37	36.4488400108752	FALSE
AAAS	663.611131924935	1.20268306968872	0.170221511921043	7.06539999625068	1.60153989194816e-12	1.91589620182042e-11	10.7176280235444	FALSE
AACS	216.479442965118	-0.384372019006759	0.253485353891216	-1.51634803788985	0.129431370764336	0.196184753571643	0.707334746685881	FALSE
AADAC	153.252230021754	0.290184269679396	1.02957124271281	0.281849625980998	0.77805881676619	0.837418319200328	0.0770575427992262	FALSE
AADAT	151.324201057642	1.17844012873353	0.296362954562048	3.97634087052133	6.99837913819978e-05	0.000243191958080132	3.61405079049786	FALSE
AAGAB	1091.03564894252	-0.812848156252187	0.168809510285317	-4.81517987273544	1.47067356310371e-06	7.14682765821169e-06	5.14588669054331	FALSE
AAK1	1525.74719665917	-2.09186467418083	0.301527563436329	-6.93755705230097	3.98938234561773e-12	4.46567003767094e-11	10.350113369512	FALSE
AAMDC	1729.79767798366	0.204797743978681	0.269518401989508	0.759865532249087	0.44733496638263	0.544583927100925	0.26393518061336	FALSE
AAMP	2234.61285203341	-0.506181426905043	0.101636512957747	-4.98031083686899	6.34822267515412e-07	3.26414179468356e-06	5.48623098370768	FALSE
AAR2	447.160021259105	0.0239720850677936	0.176246094838915	0.136014843844929	0.891809546327227	0.924846875242288	0.0339301664417688	FALSE
AARS1	2947.84526786669	0.097181935901245	0.106970277508215	0.908494753542933	0.363616884398796	0.461053015393698	0.336249133245636	FALSE
AARS2	889.756988587884	-1.83639244905792	0.145494707701003	-12.6217130373688	1.60295985825194e-36	1.21630304101502e-34	33.9149582074283	FALSE
AASDH	274.249232003971	-0.731201997284615	0.284136250858202	-2.57342030478723	0.0100698835339612	0.0213477706771113	1.67064747113921	FALSE
AASDHPPT	2091.37466953654	-0.0673069691478007	0.130629691010739	-0.515250159646074	0.606378222004568	0.692491491330308	0.159585558423799	FALSE
AASS	1637.99291872458	-1.95505133729663	0.315773947407931	-6.19130030626311	5.96699002718518e-10	4.99112874478647e-09	8.30180122748327	FALSE
AATK	110.245082257545	0.441016867499477	0.564290316949272	0.781542504368585	0.434483487915606	0.53266221490219	0.273548109375281	FALSE
ABCA1	218.479104146219	-0.124842285412363	0.711717773050009	-0.175409818525905	0.86075762612805	0.902559299413511	0.0445242547275324	FALSE
ABCA10	323.807158795951	3.01026075985405	0.363383891398121	8.28396863788339	1.19136995727571e-16	2.22033737827016e-15	14.6535810298788	FALSE
ABCA2	2711.24990189748	-0.876742873392059	0.212635447020496	-4.1232206844024	3.73611436972839e-05	0.000137903901840253	3.86042344576238	FALSE
ABCA3	405.15273313911	0.432055172448897	0.259721877372259	1.66353014547802	0.0962063617260648	0.1525601105562	0.816559005240431	FALSE
ABCA5	510.601497572155	1.92710549598469	0.22633073440997	8.51455504268361	1.67231176773363e-17	3.43616400553855e-16	15.4639261157952	FALSE
ABCA6	819.748893165074	0.892905382226484	0.217156369963785	4.11180838202164	3.92572063831558e-05	0.000143852812489915	3.84208164272805	FALSE
ABCA7	516.171401013526	-1.29936283539681	0.318375814420886	-4.08122343639796	4.47992623548094e-05	0.000162257948856168	3.78979401835002	FALSE
ABCA8	4514.35724550422	1.05142629915914	0.323930021061072	3.24584395023057	0.00117103010325747	0.00312559115248848	2.50506783112512	FALSE
ABCA9	1436.1358437776	2.63564685579796	0.287007653850054	9.18319362024729	4.18491944302811e-20	1.10040592186355e-18	17.9584470811088	FALSE
ABCB1	207.838095635524	0.00995854634258158	0.505774351163204	0.0196897021758388	0.984290905662044	0.989319925333324	0.00466324395486607	FALSE
ABCB4	144.584128412466	-0.982818016076031	0.302079351797608	-3.25350941806349	0.001139889466867	0.00305321376866569	2.51524278780687	FALSE
ABCB6	1388.21622485257	-0.916994503924556	0.201668449776411	-4.54703998042937	5.44056662641903e-06	2.38134071991963e-05	4.62317846171626	FALSE
ABCB7	1040.51300506012	0.100759111339238	0.204428524614865	0.492881859461951	0.622096065763185	0.706416515938248	0.15093915555592	FALSE
ABCB8	694.237512583232	0.10205117938175	0.171143321704026	0.596290748395292	0.550981010461849	0.64108119103354	0.193086964888495	FALSE
ABCB9	195.722393565042	1.4397051652056	0.291523509225826	4.93855596424763	7.87031927408489e-07	4.00222123736734e-06	5.39769890782571	FALSE
ABCC1	643.06074150777	0.243855392055331	0.197718835147222	1.23334426825727	0.217447348419575	0.302943368165396	0.518638550349159	FALSE
ABCC10	866.384636840248	0.598450491154168	0.204607171529944	2.92487544145825	0.00344594122558297	0.0082725951727385	2.08235822776347	FALSE
ABCC3	328.986657204584	0.565449624262572	0.55885787923669	1.01179502923871	0.311636067167055	0.406996550469096	0.390409271655825	FALSE
ABCC4	261.231253674597	-0.110553369569201	0.219327372968556	-0.504056416091078	0.6142217329341	0.700169274488566	0.15479695128714	FALSE
ABCC5	5813.60955667006	-0.263447035755334	0.248081725508214	-1.06193648571108	0.288264520059538	0.381396686585188	0.418623084242346	FALSE
ABCC6	116.83598697694	1.42501274284926	0.603560045905832	2.36101238396352	0.0182251219965999	0.0358221151924506	1.44584877389491	FALSE
ABCC8	202.340440504463	4.02882364729198	0.299562877596565	13.4490083671775	3.12028644994214e-41	3.14319400035094e-39	38.5026288131658	FALSE
ABCC9	1979.17378100439	0.19646627610791	0.392112513186663	0.501045668018208	0.616338983125442	0.701896682273718	0.153726810406738	FALSE
ABCD1	312.112791296465	-1.61366461735862	0.19503545915246	-8.27369866162242	1.29866134053756e-16	2.40762293552015e-15	14.6184115281474	FALSE
ABCD3	2299.14095703411	-0.694498586342636	0.239773202599365	-2.89648125317435	0.00377373188672019	0.00897835472175332	2.04680324025127	FALSE
ABCD4	1006.1943673276	0.421715402897747	0.175128278389307	2.40803716439375	0.0160385482439147	0.0320680402776408	1.49392757959797	FALSE
ABCE1	727.145550915471	-0.850083907971014	0.147681682112994	-5.75619058374891	8.60332523513854e-09	6.09287493152511e-08	7.21517773654909	FALSE
ABCF1	2936.93370371476	-0.408964537177277	0.136802571994215	-2.98945064566893	0.00279479594560311	0.00683293839588994	2.16539249475304	FALSE
ABCF2	831.424899598019	0.0442235105310187	0.139939128481479	0.316019622323657	0.751987614327334	0.816388801941673	0.0881029609479965	FALSE
ABCF3	2963.40020947553	-0.378277718977652	0.151105760558986	-2.50339707485861	0.0123007452493903	0.0254421372243522	1.59444640930679	FALSE
ABCG1	381.435435361116	2.81237974679445	0.509263626005468	5.52244378585218	3.34316777346348e-08	2.14329941203998e-07	6.66891715517667	FALSE
ABCG2	1023.25413006772	-1.16126708784627	0.230490845042141	-5.0382351959964	4.69843876678351e-07	2.48935237005193e-06	5.60391362426819	FALSE
ABHD1	252.143512858488	0.229619550368913	0.326495445975606	0.703285614544436	0.481877773797893	0.576073327825233	0.239522232127192	FALSE
ABHD10	1723.23099796431	-0.771166220092669	0.169480850996657	-4.55016726407563	5.36032884004267e-06	2.34912430972662e-05	4.62909400084697	FALSE
ABHD11	735.830881562398	-0.059020027786325	0.271919202368761	-0.217049870962351	0.82816947980134	0.877741355511284	0.0566334390169665	FALSE
